year,global_avg_temp,city_avg_temp
1849,7.98,25.58
1850,7.9,25.52
1851,8.18,25.67
1852,8.1,
1853,8.04,
1854,8.21,
1855,8.11,
1856,8.0,26.28
1857,7.76,25.17
1858,8.1,25.49
1859,8.25,25.92
1860,7.96,25.46
1861,7.85,25.67
1862,7.56,25.17
1863,8.11,
1864,7.98,
1865,8.18,
1866,8.29,
1867,8.44,
1868,8.25,
1869,8.43,
1870,8.2,
1871,8.12,
1872,8.19,
1873,8.35,25.62
1874,8.43,25.68
1875,7.86,25.25
1876,8.08,25.14
1877,8.54,25.85
1878,8.83,25.87
1879,8.17,25.38
1880,8.12,25.96
1881,8.27,26.07
1882,8.13,25.69
1883,7.98,26.13
1884,7.77,26.37
1885,7.92,26.07
1886,7.95,25.47
1887,7.91,24.91
1888,8.09,24.95
1889,8.32,25.12
1890,7.97,24.86
1891,8.02,25.11
1892,8.07,25.17
1893,8.06,25.33
1894,8.16,25.04
1895,8.15,25.37
1896,8.21,25.33
1897,8.29,25.64
1898,8.18,25.47
1899,8.4,26.46
1900,8.5,26.12
1901,8.54,25.92
1902,8.3,25.59
1903,8.22,25.48
1904,8.09,25.24
1905,8.23,25.78
1906,8.38,26.08
1907,7.95,25.69
1908,8.19,25.8
1909,8.18,25.57
1910,8.22,25.7
1911,8.18,25.41
1912,8.17,26.42
1913,8.3,26.33
1914,8.59,26.28
1915,8.59,26.29
1916,8.23,26.13
1917,8.02,26.47
1918,8.13,25.93
1919,8.38,26.19
1920,8.36,26.32
1921,8.57,26.42
1922,8.41,26.23
1923,8.42,25.96
1924,8.51,26.09
1925,8.53,26.09
1926,8.73,26.79
1927,8.52,26.23
1928,8.63,26.16
1929,8.24,26.5
1930,8.63,26.39
1931,8.72,26.44
1932,8.71,25.81
1933,8.34,26.55
1934,8.63,26.38
1935,8.52,26.15
1936,8.55,25.88
1937,8.7,26.54
1938,8.86,26.53
1939,8.76,25.84
1940,8.76,26.61
1941,8.77,26.77
1942,8.73,26.34
1943,8.76,26.06
1944,8.85,26.56
1945,8.58,26.52
1946,8.68,26.25
1947,8.8,26.37
1948,8.75,26.15
1949,8.59,26.51
1950,8.37,26.2
1951,8.63,26.32
1952,8.64,26.28
1953,8.87,26.24
1954,8.56,26.01
1955,8.63,26.03
1956,8.28,25.9
1957,8.73,26.28
1958,8.77,26.19
1959,8.73,26.39
1960,8.58,26.36
1961,8.8,26.25
1962,8.75,26.19
1963,8.86,26.55
1964,8.41,25.96
1965,8.53,25.97
1966,8.6,26.45
1967,8.7,26.05
1968,8.52,26.29
1969,8.6,26.55
1970,8.7,26.51
1971,8.6,26.1
1972,8.5,26.28
1973,8.95,26.8
1974,8.47,26.21
1975,8.74,26.12
1976,8.35,25.84
1977,8.85,26.4
1978,8.69,26.16
1979,8.73,26.67
1980,8.98,26.47
1981,9.17,26.43
1982,8.64,26.17
1983,9.03,26.66
1984,8.69,26.64
1985,8.66,26.3
1986,8.83,26.35
1987,8.99,27.26
1988,9.2,26.78
1989,8.92,26.65
1990,9.23,26.6
1991,9.18,26.52
1992,8.84,26.36
1993,8.87,26.56
1994,9.04,26.57
1995,9.35,26.87
1996,9.04,26.58
1997,9.2,26.54
1998,9.52,27.16
1999,9.29,26.7
2000,9.2,26.75
2001,9.41,26.69
2002,9.57,26.84
2003,9.53,27.05
2004,9.32,26.99
2005,9.7,26.98
2006,9.53,26.99
2007,9.73,27.01
2008,9.43,26.94
2009,9.51,26.98
2010,9.7,27.45
2011,9.52,27.02
2012,9.51,26.77
2013,9.61,27.23
